                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.4518,                 1.3161,                 1.3442,                0.76728,                0.59652,                  0.693,                0.45205,                 1.1807,                0.96187,                 1.1498,              0.0057882,              0.0057882,              0.0057882
                     88,                 1.4467,                 1.3188,                 1.3451,                0.76918,                0.59537,                0.69345,                 0.4525,                 1.1799,                0.96083,                 1.1494,              0.0057387,              0.0057387,              0.0057387
                     89,                 1.4486,                 1.3223,                 1.3472,                0.76944,                0.59515,                0.69398,                0.45283,                 1.1798,                 0.9597,                 1.1492,              0.0056891,              0.0056891,              0.0056891
                     90,                 1.4497,                 1.3179,                 1.3436,                0.76954,                0.59586,                0.69439,                0.45319,                  1.179,                0.95866,                 1.1487,              0.0056396,              0.0056396,              0.0056396
                     91,                 1.4404,                 1.3078,                 1.3389,                 0.7708,                0.59605,                0.69494,                 0.4535,                  1.178,                0.95735,                  1.148,              0.0055901,              0.0055901,              0.0055901
                     92,                 1.4433,                  1.308,                 1.3383,                0.76836,                0.59701,                0.69524,                0.45357,                 1.1773,                0.95616,                 1.1474,              0.0055405,              0.0055405,              0.0055405
                     93,                 1.4417,                 1.3135,                 1.3409,                 0.7673,                0.59839,                0.69561,                0.45419,                 1.1762,                0.95513,                 1.1466,              0.0054909,              0.0054909,              0.0054909
                     94,                 1.4441,                 1.3102,                 1.3418,                0.76602,                 0.5997,                0.69563,                0.45485,                 1.1753,                0.95437,                  1.146,              0.0054414,              0.0054414,              0.0054414
                     95,                 1.4363,                  1.305,                 1.3385,                0.76838,                0.60003,                 0.6961,                0.45544,                 1.1744,                0.95332,                 1.1454,              0.0053918,              0.0053918,              0.0053918
                     96,                  1.445,                  1.309,                 1.3411,                  0.771,                0.59937,                0.69656,                0.45587,                 1.1734,                0.95204,                 1.1448,              0.0053423,              0.0053423,              0.0053423
                     97,                 1.4372,                 1.3035,                 1.3364,                0.77333,                0.59888,                0.69721,                0.45649,                 1.1729,                0.95137,                 1.1442,              0.0052928,              0.0052928,              0.0052928
                     98,                 1.4362,                  1.301,                 1.3375,                0.77449,                0.59852,                0.69765,                0.45698,                  1.172,                0.95064,                 1.1436,              0.0052432,              0.0052432,              0.0052432
                     99,                   1.44,                 1.3045,                 1.3381,                0.77404,                 0.6002,                0.69822,                0.45708,                 1.1713,                0.94935,                 1.1431,              0.0051937,              0.0051937,              0.0051937
                    100,                 1.4403,                 1.3052,                 1.3379,                0.77439,                0.60025,                0.69874,                0.45759,                 1.1707,                0.94845,                 1.1426,              0.0051441,              0.0051441,              0.0051441
                    101,                 1.4364,                 1.2987,                 1.3344,                0.77532,                0.60025,                0.69896,                0.45781,                 1.1701,                0.94748,                 1.1421,              0.0050945,              0.0050945,              0.0050945
                    102,                 1.4378,                 1.3013,                 1.3356,                0.77605,                0.59992,                0.69907,                0.45816,                 1.1696,                0.94636,                 1.1417,               0.005045,               0.005045,               0.005045
                    103,                 1.4341,                 1.2967,                 1.3338,                0.77621,                0.60201,                 0.6998,                0.45832,                 1.1688,                0.94509,                  1.141,              0.0049955,              0.0049955,              0.0049955
                    104,                 1.4327,                 1.2974,                  1.334,                0.77402,                0.60236,                0.70004,                0.45875,                  1.168,                0.94411,                 1.1403,              0.0049459,              0.0049459,              0.0049459
                    105,                 1.4333,                 1.2975,                 1.3318,                0.77355,                0.60234,                0.70044,                0.45912,                 1.1672,                0.94333,                 1.1397,              0.0048963,              0.0048963,              0.0048963
                    106,                 1.4355,                 1.3008,                  1.335,                0.77423,                0.60179,                0.70043,                0.45941,                 1.1663,                0.94231,                 1.1391,              0.0048468,              0.0048468,              0.0048468
                    107,                   1.43,                 1.2948,                   1.33,                0.77512,                0.60124,                0.70045,                 0.4599,                 1.1657,                0.94185,                 1.1386,              0.0047972,              0.0047972,              0.0047972
                    108,                 1.4294,                 1.2963,                 1.3313,                0.77331,                0.60201,                0.70109,                0.46027,                 1.1653,                0.94099,                  1.138,              0.0047477,              0.0047477,              0.0047477
                    109,                 1.4292,                 1.2906,                 1.3295,                0.77119,                0.60409,                0.70112,                0.46057,                 1.1648,                0.93992,                 1.1376,              0.0046981,              0.0046981,              0.0046981
                    110,                 1.4262,                 1.2904,                 1.3297,                0.77397,                0.60239,                0.70146,                0.46094,                  1.164,                0.93921,                 1.1372,              0.0046486,              0.0046486,              0.0046486
                    111,                 1.4264,                 1.2892,                 1.3302,                0.77429,                0.60274,                0.70183,                0.46117,                 1.1634,                0.93842,                 1.1368,               0.004599,               0.004599,               0.004599
