                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                  1.376,                 1.2205,                 1.3248,                0.79368,                0.64382,                0.74527,                0.49694,                 1.1232,                0.87353,                 1.1302,              0.0054909,              0.0054909,              0.0054909
                     94,                  1.378,                 1.2216,                 1.3258,                0.79085,                0.64503,                0.74547,                0.49722,                 1.1227,                0.87302,                 1.1298,              0.0054414,              0.0054414,              0.0054414
                     95,                 1.3726,                 1.2123,                 1.3218,                  0.792,                0.64498,                0.74581,                0.49756,                 1.1225,                0.87243,                 1.1296,              0.0053918,              0.0053918,              0.0053918
                     96,                 1.3786,                 1.2182,                 1.3262,                0.79281,                0.64591,                0.74595,                0.49744,                 1.1218,                0.87186,                 1.1291,              0.0053423,              0.0053423,              0.0053423
                     97,                 1.3715,                 1.2112,                 1.3191,                0.79244,                0.64607,                0.74624,                0.49778,                 1.1209,                0.87136,                 1.1284,              0.0052928,              0.0052928,              0.0052928
                     98,                 1.3703,                 1.2127,                 1.3211,                0.79186,                0.64612,                0.74607,                0.49801,                 1.1201,                0.87099,                 1.1279,              0.0052432,              0.0052432,              0.0052432
                     99,                 1.3753,                 1.2137,                 1.3205,                0.79218,                0.64722,                0.74669,                0.49833,                 1.1201,                0.87061,                 1.1278,              0.0051937,              0.0051937,              0.0051937
                    100,                 1.3756,                 1.2148,                 1.3209,                0.79291,                0.64795,                0.74692,                0.49844,                 1.1197,                 0.8702,                 1.1274,              0.0051441,              0.0051441,              0.0051441
                    101,                 1.3712,                 1.2091,                 1.3184,                0.79152,                0.64917,                0.74733,                0.49846,                 1.1192,                   0.87,                  1.127,              0.0050945,              0.0050945,              0.0050945
                    102,                  1.372,                 1.2106,                 1.3191,                0.79119,                0.64911,                0.74758,                0.49872,                 1.1189,                0.86979,                 1.1268,               0.005045,               0.005045,               0.005045
                    103,                 1.3685,                 1.2078,                 1.3175,                0.79085,                0.64942,                  0.748,                0.49943,                 1.1185,                0.86932,                 1.1265,              0.0049955,              0.0049955,              0.0049955
                    104,                 1.3674,                 1.2069,                 1.3174,                0.79035,                0.64942,                0.74825,                0.49947,                 1.1179,                 0.8687,                 1.1261,              0.0049459,              0.0049459,              0.0049459
                    105,                 1.3669,                  1.207,                 1.3163,                0.79279,                0.64783,                0.74849,                0.49978,                  1.117,                0.86804,                 1.1253,              0.0048963,              0.0048963,              0.0048963
                    106,                  1.371,                 1.2107,                 1.3193,                0.79335,                 0.6478,                0.74836,                0.50028,                 1.1167,                0.86737,                 1.1251,              0.0048468,              0.0048468,              0.0048468
                    107,                 1.3653,                 1.2044,                 1.3137,                0.79301,                0.64811,                0.74867,                0.50049,                 1.1166,                0.86688,                 1.1249,              0.0047972,              0.0047972,              0.0047972
                    108,                 1.3649,                 1.2085,                 1.3167,                0.79478,                0.64711,                 0.7486,                0.50051,                 1.1163,                0.86644,                 1.1247,              0.0047477,              0.0047477,              0.0047477
                    109,                 1.3627,                 1.2028,                 1.3138,                0.79721,                0.64684,                0.74905,                0.50063,                  1.116,                0.86604,                 1.1244,              0.0046981,              0.0046981,              0.0046981
                    110,                 1.3612,                 1.2006,                 1.3135,                0.79447,                0.64865,                0.74923,                0.50086,                 1.1155,                0.86536,                  1.124,              0.0046486,              0.0046486,              0.0046486
                    111,                 1.3629,                 1.2003,                 1.3151,                0.79531,                0.64914,                0.74934,                0.50112,                 1.1151,                0.86496,                 1.1237,               0.004599,               0.004599,               0.004599
                    112,                  1.364,                 1.2049,                 1.3136,                 0.7959,                0.64925,                0.74982,                0.50141,                 1.1147,                0.86465,                 1.1234,              0.0045495,              0.0045495,              0.0045495
                    113,                 1.3631,                 1.2031,                 1.3119,                0.79497,                0.64957,                0.74963,                0.50148,                 1.1144,                0.86406,                 1.1229,              0.0044999,              0.0044999,              0.0044999
                    114,                 1.3572,                 1.1978,                 1.3125,                0.79462,                 0.6507,                0.75025,                0.50179,                 1.1139,                0.86348,                 1.1225,              0.0044504,              0.0044504,              0.0044504
                    115,                 1.3572,                 1.1974,                 1.3116,                0.79275,                0.65161,                0.75043,                0.50214,                 1.1135,                0.86321,                 1.1223,              0.0044009,              0.0044009,              0.0044009
                    116,                 1.3561,                 1.1911,                 1.3085,                0.79352,                0.65139,                0.75085,                0.50216,                 1.1135,                0.86275,                 1.1223,              0.0043513,              0.0043513,              0.0043513
                    117,                 1.3561,                 1.1951,                   1.31,                0.79606,                 0.6505,                0.75074,                0.50222,                 1.1129,                0.86237,                 1.1219,              0.0043018,              0.0043018,              0.0043018
                    118,                 1.3573,                 1.1922,                 1.3112,                  0.795,                0.65227,                0.75078,                0.50244,                  1.113,                0.86215,                 1.1219,              0.0042522,              0.0042522,              0.0042522
                    119,                 1.3542,                 1.1925,                 1.3092,                0.79437,                0.65141,                0.75029,                0.50271,                 1.1127,                0.86154,                 1.1216,              0.0042027,              0.0042027,              0.0042027
                    120,                 1.3535,                 1.1919,                 1.3069,                0.79375,                  0.652,                 0.7503,                0.50276,                 1.1125,                0.86097,                 1.1214,              0.0041531,              0.0041531,              0.0041531
                    121,                 1.3533,                 1.1902,                  1.306,                0.79113,                0.65309,                0.75063,                0.50285,                 1.1126,                0.86058,                 1.1213,              0.0041036,              0.0041036,              0.0041036
                    122,                 1.3513,                 1.1889,                 1.3045,                0.79356,                0.65238,                0.75091,                0.50292,                 1.1126,                0.85992,                 1.1212,               0.004054,               0.004054,               0.004054
                    123,                 1.3527,                 1.1893,                 1.3065,                0.79055,                0.65403,                 0.7511,                0.50302,                 1.1124,                0.85915,                 1.1209,              0.0040044,              0.0040044,              0.0040044
                    124,                  1.351,                 1.1889,                 1.3048,                0.79511,                0.65202,                0.75139,                0.50323,                 1.1122,                0.85881,                 1.1206,              0.0039549,              0.0039549,              0.0039549
                    125,                 1.3494,                 1.1845,                 1.3051,                0.79581,                0.65172,                0.75117,                0.50336,                 1.1119,                0.85822,                 1.1204,              0.0039054,              0.0039054,              0.0039054
                    126,                 1.3485,                  1.189,                 1.3047,                0.79551,                0.65087,                0.75123,                0.50359,                 1.1111,                0.85833,                   1.12,              0.0038558,              0.0038558,              0.0038558
                    127,                 1.3479,                 1.1855,                 1.3042,                  0.795,                0.65309,                0.75126,                0.50381,                 1.1109,                0.85794,                 1.1197,              0.0038063,              0.0038063,              0.0038063
