                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.2966,                 1.1282,                 1.4174,                0.80325,                0.65594,                0.75553,                0.50827,                 1.0992,                0.82859,                 1.2998,              0.0039879,              0.0039879,              0.0039879
                     94,                 1.2963,                 1.1245,                 1.4148,                 0.8043,                0.65514,                0.75614,                0.50883,                 1.0988,                0.82769,                 1.2991,              0.0039219,              0.0039219,              0.0039219
                     95,                 1.2898,                 1.1219,                 1.4129,                0.80446,                0.65627,                0.75639,                0.50893,                 1.0983,                0.82686,                 1.2982,              0.0038558,              0.0038558,              0.0038558
                     96,                 1.2889,                 1.1212,                 1.4129,                0.80419,                0.65754,                0.75655,                0.50941,                 1.0981,                0.82611,                 1.2976,              0.0037897,              0.0037897,              0.0037897
                     97,                  1.287,                 1.1183,                   1.41,                 0.8036,                0.65891,                0.75664,                 0.5095,                 1.0978,                0.82553,                 1.2973,              0.0037237,              0.0037237,              0.0037237
                     98,                 1.2894,                 1.1255,                 1.4129,                0.80438,                0.65902,                0.75689,                0.50987,                 1.0971,                0.82466,                 1.2966,              0.0036576,              0.0036576,              0.0036576
                     99,                 1.2873,                 1.1181,                 1.4078,                0.80442,                0.65941,                0.75734,                0.51002,                 1.0967,                0.82374,                 1.2954,              0.0035915,              0.0035915,              0.0035915
                    100,                  1.288,                 1.1187,                 1.4097,                0.80421,                0.65864,                0.75738,                 0.5101,                 1.0959,                0.82294,                 1.2944,              0.0035255,              0.0035255,              0.0035255
                    101,                 1.2839,                 1.1106,                 1.4042,                0.80425,                0.65898,                0.75764,                0.51048,                 1.0956,                0.82251,                 1.2934,              0.0034594,              0.0034594,              0.0034594
                    102,                 1.2859,                 1.1115,                 1.4048,                0.80506,                0.65825,                0.75788,                0.51074,                 1.0951,                0.82166,                 1.2925,              0.0033933,              0.0033933,              0.0033933
                    103,                 1.2794,                 1.1085,                 1.4023,                0.80531,                0.65846,                0.75786,                0.51084,                 1.0945,                 0.8211,                 1.2916,              0.0033273,              0.0033273,              0.0033273
                    104,                 1.2838,                   1.11,                  1.403,                0.80579,                0.65897,                0.75838,                0.51126,                 1.0938,                0.82047,                 1.2904,              0.0032612,              0.0032612,              0.0032612
                    105,                   1.28,                 1.1103,                 1.4033,                0.80603,                0.65988,                0.75898,                0.51126,                 1.0934,                0.81944,                 1.2896,              0.0031951,              0.0031951,              0.0031951
